authors,hebMovieName,length,type,tecnique,screenRoom,group,order,imageName
מאי גרוסמן,נול,7:54,אנימציה,קלאסית,"ברחבה, קומה 5",10:00 |  14:00  |  אנימציה 1,1,nool.png
"מעיין בידץ, נמרוד חביליו, הודיה גורדון","הגולם ח""י",8:30,אנימציה,סטופ,בחדר 508,10:00 |  14:00  |  אנימציה 1,2,golem.png
רננה פלמור,כלב כדור פארק,3:32,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,3,dog.png
"הילה וקראט, גלעד פפר",בארגזים,6:22,אנימציה,סטופ | קלאסית,בחדר 513,10:00 |  14:00  |  אנימציה 1,4,boxes.png
קמע זמורה,שמשות של לפעמים,4:10,אנימציה,טכניקה משולבת,בחדר 508,10:00 |  14:00  |  אנימציה 1,5,kamea.png
שושן כהן,הרג הנחש,3:54,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,6,shushan.png
רתם מעודד,לימון ירוק,4:30,אנימציה,תלת,"בפינת ישיבה, קומה 5",10:00 |  14:00  |  אנימציה 1,7,meoded.png
אברהים אערג,מעל השולחן,7:16,אנימציה,קלאסית,בחדר 508,10:00 |  14:00  |  אנימציה 1,8,arg.png
רותם חלפון,על ענקים וחיות אחרות ,5:22,אנימציה,קלאסית,בחדר 513,10:00 |  14:00  |  אנימציה 1,9,together.png
"בר וקנין, תמר שרביט, מתן לוי",הבניין ברחוב האצ''ל 9,9:44,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,1,etzel.png
זהר הס ,שבור,4:24,אנימציה,תלת,בחדר 508,11:00  |  16:00  |  אנימציה 2,2,zohar.png
טינה יעקוב,חור שלם,6:24,אנימציה,טכניקה משולבת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,3,tina.png
עמיחי מזוז,בשביל זה חברים הם 4,5:13,אנימציה,תלת,-,11:00  |  16:00  |  אנימציה 2,4,mazuz.png
דפנה ענבר,SZZZ,6:07,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,5,szzz.png
תום קוריטו בלומן,אש כוחותינו,6:14,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,6,tom.png
רותם דש,SUBLIME,5:02,אנימציה,תלת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,7,dash.png
אזימה רחמילוב,אנחנו זבל,4:38,אנימציה,קלאסית,,11:00  |  16:00  |  אנימציה 2,8,azima.png
שחר בלפור,איבוד,7:48,אנימציה,קלאסית,בחדר 513,11:00  |  16:00  |  אנימציה 2,9,balfur.png
